Aarakocra,DMG
Aarakocra,EEPC
Aarakocra,MPMM
Aasimar,DMG
Aasimar,MPMM
Aasimar,VGM
Aasimar (Fallen),VGM
Aasimar (Protector),VGM
Aasimar (Scourge),VGM
Astral Elf,AAG
Autognome,AAG
Bugbear,ERLW
Bugbear,MPMM
Bugbear,VGM
Bullywug,DMG
Centaur,GGR
Centaur,MOT
Centaur,MPMM
Changeling,ERLW
Changeling,MPMM
Custom Lineage,TCE
Deep Gnome,MPMM
Dhampir,VRGR
Dragonborn,PHB
Dragonborn (Base),PHB
Dragonborn (Chromatic),FTD
Dragonborn (Draconblood),EGW
Dragonborn (Gem),FTD
Dragonborn (Metallic),FTD
Dragonborn (Ravenite),EGW
Duergar,MPMM
Dwarf,PHB
Dwarf (Duergar),MTF
Dwarf (Hill),PHB
Dwarf (Mark of Warding),ERLW
Dwarf (Mountain),PHB
Eladrin,MPMM
Elf,PHB
Elf (Drow),PHB
Elf (Eladrin),DMG
Elf (Eladrin),MTF
Elf (High),PHB
Elf (Mark of Shadow),ERLW
Elf (Pallid),EGW
Elf (Sea),MTF
Elf (Shadar-kai),MTF
Elf (Wood),PHB
Fairy,MPMM
Firbolg,MPMM
Firbolg,VGM
Genasi,EEPC
Genasi,MPMM
Genasi (Air),EEPC
Genasi (Air),MPMM
Genasi (Earth),EEPC
Genasi (Earth),MPMM
Genasi (Fire),EEPC
Genasi (Fire),MPMM
Genasi (Water),EEPC
Genasi (Water),MPMM
Giff,AAG
Gith,MTF
Gith (Githyanki),MTF
Gith (Githzerai),MTF
Githyanki,MPMM
Githzerai,MPMM
Gnoll,DMG
Gnome,PHB
Gnome (Deep),MTF
Gnome (Deep),DMG
Gnome (Deep/Svirfneblin),SCAG
Gnome (Forest),PHB
Gnome (Mark of Scribing),ERLW
Gnome (Rock),PHB
Goblin,DMG
Goblin,ERLW
Goblin,GGR
Goblin,MPMM
Goblin,VGM
Goliath,MPMM
Goliath,VGM
Grimlock,DMG
Hadozee,AAG
Half-Elf,PHB
Half-Elf (Base),PHB
Half-Elf (Variant; Aquatic Elf Descent),SCAG
Half-Elf (Variant; Drow Descent),SCAG
Half-Elf (Variant; Mark of Detection),ERLW
Half-Elf (Variant; Mark of Storm),ERLW
Half-Elf (Variant; Moon Elf or Sun Elf Descent),SCAG
Half-Elf (Variant; Wood Elf Descent),SCAG
Half-Orc,PHB
Half-Orc (Base),PHB
Half-Orc (Variant; Mark of Finding),ERLW
Halfling,PHB
Halfling (Ghostwise),SCAG
Halfling (Lightfoot),PHB
Halfling (Lotusden),EGW
Halfling (Mark of Healing),ERLW
Halfling (Mark of Hospitality),ERLW
Halfling (Stout),PHB
Harengon,MPMM
Hexblood,VRGR
Hobgoblin,DMG
Hobgoblin,ERLW
Hobgoblin,MPMM
Hobgoblin,VGM
Human,PHB
Human (Base),PHB
Human (Mark of Handling),ERLW
Human (Mark of Making),ERLW
Human (Mark of Passage),ERLW
Human (Mark of Sentinel),ERLW
Human (Variant)Any two uni,PHB
Human (Variant; Mark of Finding),ERLW
Kalashtar,ERLW
Kenku,DMG
Kenku,MPMM
Kenku,VGM
Kobold,DMG
Kobold,MPMM
Kobold,VGM
Kuo-Toa,DMG
Leonin,MOT
Lizardfolk,DMG
Lizardfolk,MPMM
Lizardfolk,VGM
Loxodon,GGR
Merfolk,DMG
Minotaur,GGR
Minotaur,MOT
Minotaur,MPMM
Orc,DMG
Orc,EGW
Orc,ERLW
Orc,MPMM
Orc,VGM
Plasmoid,AAG
Reborn,VRGR
Satyr,MOT
Satyr,MPMM
Sea Elf,MPMM
Shadar-Kai,MPMM
Shifter,ERLW
Shifter,MPMM
Shifter (Beasthide),ERLW
Shifter (Longtooth),ERLW
Shifter (Swiftstride),ERLW
Shifter (Wildhunt),ERLW
Simic Hybrid,GGR
Skeleton,DMG
Tabaxi,MPMM
Tabaxi,VGM
Thri-kreen,AAG
Tiefling,PHB
Tiefling (Asmodeus),MTF
Tiefling (Baalzebul),MTF
Tiefling (Base),PHB
Tiefling (Dispater),MTF
Tiefling (Fierna),MTF
Tiefling (Glasya),MTF
Tiefling (Levistus),MTF
Tiefling (Mammon),MTF
Tiefling (Mephistopheles),MTF
Tiefling (Variant; Devil's Tongue),SCAG
Tiefling (Variant; Hellfire),SCAG
Tiefling (Variant; Infernal Legacy),SCAG
Tiefling (Variant; Winged),SCAG
Tiefling (Zariel),MTF
Tortle,MPMM
Triton,MOT
Triton,MPMM
Triton,VGM
Troglodyte,DMG
Vedalken,GGR
Verdan,AI
Warforged,ERLW
Yuan-Ti,MPMM
Yuan-ti Pureblood,VGM
Zombie,DMG