Gourmand,"""Obsessed with food, cooks a lot"""
Ascetic,"""Has forsaken physical comforts and enjoyments, enjoys simplicity"""
Nimble,"""Moves around with ease as if they are dancing"""
Clever,"""They are good at out-of-the-box thinking"""
Open-Minded,"""Doesn't judge people often, will consider even the wildest claims"""
Kind,"""Exceptionally agreeable, doesn't insult others"""
Sanguine,"""Exceptionally upbeat, very difficult to lower their mood"""
Optimist,"""Can always find the silver lining"""
Steadfast,"""Mentally strong and doesn't crumble under stress"""
Brave,"""Shows courage in the face of danger"""
Iron Stomach,"""Has a strong resistance to ingesting contaminants and toxins"""
Night Owl,"""Is usually awake at night and asleep during the day"
Masochist,"""Likes being subjected to pain"""
Transhumanist,"""Wants to enhance their body through artifice or magic"""
Tortured Artist,"""Feels misunderstood by other people, wants to create the greatest piece of art"""
Chemical Fascination,"""Loves altering their mental state with drugs and chemicals, suffers withdrawl quickly"""
Teetotaler,"""Abhors the idea of gaining pleasure from chemicals, doesn't drink or use drugs"""
Absent-Minded,"""Will sometimes completely forget what they are doing"
Obsessed Worker,"""Always focused on their job, starts feeling uneasy when not working"""
Perfectionist,"""Can't bear to stop stop working on something until it is perfect"""
Lazy Worker,"""Hates their job, works slowly and would much rather be doing anything else"""
Clumsy,"""Constantly fumbling and dropping things"""
Fidgiter,"""Is constantly fiddling with something in their hand"""
Neat,"""Their environment must always be clean and tidy"""
Slob,"""Doesn't care about the cleanliness of their environment"""
Animal Lover,"""Loves animals, and tends to be surrounded by them"""
Animal Hater,"""Can't stand animals, and often tries to avoid them"""
Rebellious,"""Dislikes authority, and resists any attempt at control over them"""
Compliant,"""Always obeys authority, and shows little to no resistance to new rules"""
Submissive,"""Meekly obediant to others, and shows no resistance in conflict"""
Dominant,"""They must be the loudest voice, have their idea pursued, and be the most powerful in the room"""
Party Animal,"""Loves parties, and often tries to organise them"""
Introvert,"""Doesn't like too much social interaction, and tends to be timid or blunt in conversation"""
Snob,"""Believes that they are of the highest class, and looks down upon those lesser than them"""
Squeamish,"""Gets grossed out easily"""
Drunken Prodigy,"""Seems to perform better, work better, and just be better while they are drunk"
Stoned Prodigy,"""Seems to perform better, work better, and just be better while they are under the influence of drugs"
Hoplophobia,"""They are terrified of weapons"""
Hoplophile,"""Has an irrational love for weaponry"""
Autophobia,"""Has a fear of being alone"
Indecisive,"""Struggles to commit to a decision"
Hypochondriac,"""Is constantly concerned with their health, possibly beleieving that they have afflictions that they don't"
Twitchy,"""Some of their muscles seem to spasm at random"
Agoraphobia,"""Is scared of going outside"
Purist,"""Doesn't like people people who are magically inclined"""
Greedy,"""Always wants more, and gets mad if they don't get it"""
Jealous,"""If they see something they don't have they do what they need to get it"""
Pyromaniac,"""They love watching and starting fires, and gets angry when they are extinguished"""
Sadist,"""Enjoys inflicting pain on others"""
Wimp,"""Cowers at the slightest notion of violence"""
Abrasive,"""Exceptionally blunt, doesn't consider peoples feelings when talking"""
Creepy Breathing,"""Breathes considerably heavily and sweats constantly"""
Misandrist,"""Dislikes and distrusts men"""
Misogynist,"""Dislikes and distrusts women"""
Misanthrope,"""Dislikes and distrusts people, believes that all actions are taken for selfish reasons"""
Pessimist,"""Always assumes the worst outcome"""
Depressive,"""Perpetually in an awful mood, very difficult to raise their mood"""
Nervous,"""Feels the strain from stress more than others"""
Volatile,"""Even the smallest thing can make them explode, very quick to break under stress"""
Sickly,"""They are far more likely to get sick than others"""
Insomniac,"""Forever tired, they can't seem to get a good nights rest"
World Weary,"""Well versed in world/country/state politics, but are very anxious about the fallout of world events"""
Desensitized,"""They have seen so many traumatic events that those same events no longer phase them"
Tycoon,"""Always looking for business opportunities, they want to own it all"""